Z Right -1 -12 0 110 10857 10857
A Back 2 -12 188 125 1888 1700
Back Back 0 0 125 94 187 62
Back Back 0 0 94 109 156 62
Back Back 0 0 109 78 593 484
Back Back 0 0 78 94 156 78
Back Back 0 0 94 109 156 62
Back Back 0 0 109 93 172 63
Back Back 0 0 93 94 171 78
Back Back 0 0 94 125 156 62
Back Back 0 0 125 156 219 94
Back M -3 6 156 156 577 421
M A 1 6 156 156 171 15
A K 0 -7 156 109 125 -31
K E 1 5 109 140 94 -15
E S -1 1 140 156 218 78
S Space -2 -2 156 156 187 31
Space G 2 -1 156 140 344 188
G R 1 1 140 125 249 109
R E 0 1 125 125 250 125
E A -1 2 125 140 47 -78
A T 1 -4 140 156 171 31
T Space -3 1 156 172 905 749
Space T 3 -1 172 156 359 187
T Y 0 -1 156 124 437 281
Y P 0 -4 124 109 421 297
P O 0 1 109 124 203 94
O G -1 4 124 140 374 250
G R 1 1 140 156 281 141
R A -1 3 156 141 93 -63
A P 1 -9 141 140 219 78
P H -1 4 140 124 281 141
H Y 1 0 124 140 218 94
Y Space -3 2 140 156 1451 1311
Space G 2 -1 156 140 359 203
G R 1 1 140 156 265 125
R E 0 1 156 156 249 93
E A -1 2 156 141 78 -78
A T 1 -4 141 125 172 31
T OemPeriod -2 -4 125 94 499 374
OemPeriod Space -1 5 94 125 187 93
Space LShiftKey 1 4 125 281 47 -78
LShiftKey I 2 -8 281 125 172 -109
I T 0 3 125 125 156 31
T Space -3 1 125 156 109 -16
Space W 3 2 156 172 140 -16
W A -1 1 172 140 110 -62
A S 0 -1 140 125 202 62
S Space -2 -2 125 140 188 63
Space B 1 -1 140 125 530 390
B E 2 2 125 124 250 125
E A -1 2 124 141 249 125
A U 1 -6 141 140 297 156
U T 0 2 140 140 187 47
T I 0 -3 140 187 218 78
I F -1 4 187 140 375 188
F U 1 -3 140 140 140 0
U L -1 -2 140 156 265 125
L Oemcomma -1 1 156 125 624 468
Oemcomma Space -1 4 125 172 593 468
Space H 2 -2 172 125 374 202
H I 1 -2 125 140 188 63
I S -1 6 140 140 156 16
S T 1 -3 140 125 249 109
T O 0 -4 125 140 172 47
O R 0 5 140 125 187 47
R I 0 -4 125 141 140 15
I C -2 5 141 141 203 62
C A 1 2 141 125 78 -63
A L 0 -8 125 203 234 109
L Space -2 5 203 187 141 -62
Space Back 4 -9 187 202 1170 983
Back Oemcomma -3 5 202 124 1014 812
Oemcomma Space -1 4 124 140 234 110
Space A 2 3 140 171 234 94
A R 1 -3 171 156 405 234
R T 0 -1 156 141 421 265
T I 0 -3 141 141 156 15
I S -1 6 141 156 156 15
S T 1 -3 156 156 250 94
T I 0 -3 156 124 172 16
I C -2 5 124 156 218 94
C A 1 2 156 124 94 -62
A L 0 -8 124 78 592 468
L L 0 0 78 156 156 78
L Y 1 3 156 171 375 219
Y Space -3 2 171 125 109 -62
Space S 2 2 125 187 187 62
S U 1 -5 187 109 234 47
U B -2 2 109 141 265 156
B T 2 0 141 141 281 140
T L -1 -4 141 125 203 62
L E 1 6 125 156 78 -47
E Space -3 -1 156 156 796 640
Space I 3 -4 156 110 202 46
I N -2 2 110 312 266 156
N Space -1 2 312 203 249 -63
Space A 2 3 203 125 328 125
A Space -2 -3 125 187 172 47
Space W 3 2 187 187 265 78
W A -1 1 187 141 93 -94
A Y 1 -5 141 187 406 265
Y Space -3 2 187 156 109 -78
Space T 3 -1 156 141 1170 1014
T H -1 -1 141 140 141 0
H A 0 5 140 171 109 -31
A T 1 -4 171 140 78 -93
T Space -3 1 140 156 171 31
Space S 2 2 156 171 141 -15
S C -1 -1 171 156 234 63
C I 2 -5 156 156 359 203
I E 0 5 156 156 218 62
E N -2 -3 156 125 156 0
N C 0 3 125 250 187 62
C V 0 -1 250 125 16 -234
V E 2 1 125 171 203 78
E Space -3 -1 171 172 1029 858
Space C 1 1 172 171 1888 1716
C A 1 2 171 124 125 -46
A N -1 -5 124 110 514 390
N Oem7 1 -5 110 141 593 483
Oem7 T 1 6 141 124 141 0
T Space -3 1 124 140 140 16
Space C 1 1 140 171 203 63
C A 1 2 171 156 93 -78
A P 1 -9 156 156 266 110
P T 0 5 156 141 280 124
T U 0 -2 141 125 156 15
U R 0 3 125 171 110 -15
R E 0 1 171 156 78 -93
E Oemcomma -2 -5 156 125 1450 1294
Oemcomma Space -1 4 125 187 437 312
Space A 2 3 187 140 203 16
A N -1 -5 140 141 187 47
N D 1 3 141 125 156 15
D Space -2 -1 125 124 141 16
Space LShiftKey 1 4 124 686 218 94
LShiftKey I 2 -8 686 141 530 -156
I Space -3 4 141 172 250 109
Space F 2 0 172 140 390 218
F O 1 -5 140 124 172 32
O U 0 2 124 109 187 63
U N -2 1 109 124 203 94
N D 1 3 124 140 218 94
D Space -2 -1 140 140 125 -15
Space I 3 -4 140 140 187 47
I T 0 3 140 140 94 -46
T Space -3 1 140 141 124 -16
Space F 2 0 141 156 468 327
F A 0 3 156 140 94 -62
A S 0 -1 140 141 218 78
S C -1 -1 141 125 234 93
C I 2 -5 125 125 141 16
I N -2 2 125 109 218 93
N A 1 5 109 140 47 -62
A T 1 -4 140 109 187 47
T I 0 -3 109 93 172 63
I N -2 2 93 109 187 94
N G 1 1 109 140 125 16
G OemPeriod -1 -4 140 93 546 406
OemPeriod S 1 7 93 187 8112 8019
